"","Identifiant","Date (AAAA/MM/JJ)","Heure","Intensité épicentrale","Qualité intensité épicentrale","Nom","Région épicentrale","Choc"
"","400002","1876/03/10","17 h 10 min","3","I","MARENSIN (ST-MARTIN-DE-HINX)","GASCOGNE","GROUPE DE SECOUSSES D UN ESSAIM"
"","1120040","1876/04/02","5 h 55 min","5.5","B","JURA SUISSE (NEUCHATEL-BIENNE ?)","SUISSE",""
"","380034","1876/04/24","3 h","4","I","BAS-PLATEAUX DAUPHINOIS (ST-MARCELLIN)","DAUPHINE",""
"","1120114","1876/04/30","22 h","3","I","JURA SUISSE (NEUCHATEL)","SUISSE",""
"","1120121","1876/05/07","5 h 50 min","6","B","JURA SUISSE (ORBE)","SUISSE",""
"","40049","1876/09/20","7 h","5.5","I","PREALPES DE DIGNE (DIGNE)","ALPES PROVENCALES",""
"","1110191","1876/10/13","20 h 30 min","4.5","B","FORET NOIRE (NEUENWEG)","ALLEMAGNE",""
"","670062","1876/10/14","11 h","5","B","VALLEE DU RHIN (KEHL)","ALLEMAGNE",""
"","790037","1876/11/13","17 h 30 min","4.5","B","BOCAGE VENDEEN (BRESSUIRE)","POITOU",""
"","1120241","1876/12/01","19 h 20 min","4","B","JURA SUISSE (ORBE)","SUISSE","REPLIQUE"
"","120001","1876/12/19","5 h 6 min","4.5","B","VALLEE DU LOT (ST-GENIEZ-D'OLT)","QUERCY-ROUERGUE",""
"","60062","1876/12/21","17 h","4","E","COTE D'AZUR (CANNES)","ALPES MARITIMES",""
"","850059","1877/03/14","16 h","4.5","C","BOCAGE VENDEEN (MONTAIGU)","PAYS NANTAIS ET VENDEEN",""
"","440033","1877/04/04","18 h","5","I","ESTUAIRE DE LA LOIRE (PAIMBOEUF)","PAYS NANTAIS ET VENDEEN",""
"","1120075","1877/05/02","20 h 40 min","6.5","C","ZURICH","SUISSE",""
"","440079","1877/07/12","4 h","3.5","C","PAYS DE NANTES (NANTES)","PAYS NANTAIS ET VENDEEN",""
"","1150025","1877/08/21","1 h 30 min","5","C","JERSEY","ILES ANGLO-NORMANDES",""
"","420002","1877/09/12","6 h 50 min","6","B","BOIS NOIRS (ST-ROMAIN-D'URFE)","FOREZ-LYONNAIS",""
"","740035","1877/10/08","5 h 12 min","7","B","FAUCIGNY (LA ROCHE-SUR-FORON)","ALPES SAVOYARDES",""
"","1150121","1877/11/02","11 h 20 min","4.5","I","DORSET (BOURTON)","GRANDE-BRETAGNE",""
"","1150120","1877/11/02","8 h 10 min","3","I","DORSET (BOURTON)","GRANDE-BRETAGNE","PRECURSEUR"
"","1110216","1878/01/16","23 h 55 min","5","B","FORET NOIRE (LORRACH)","ALLEMAGNE",""
"","1130374","1878/01/22","7 h 30 min","5.5","C","PIEMONT (SALUZZO)","ITALIE",""
"","690024","1878/01/27","19 h 45 min","3.5","I","LYONNAIS (LYON)","FOREZ-LYONNAIS",""
"","1150017","1878/01/28","11 h 53 min","5.5","E","MANCHE (E.N-E. CHERBOURG)","NORMANDIE",""
"","670065","1878/03/29","11 h","4","B","PLAINE DE BASSE-ALSACE (STRASBOURG)","ALSACE",""
"","560016","1878/05/14","5 h 55 min","5","B","PAYS DE PONTIVY (E. PLOUAY)","BRETAGNE",""
"","1130039","1878/06/07","22 h 50 min","7","B","PIEMONT (CARTIGNANO)","ITALIE","GROUPE DE SECOUSSES D UN ESSAIM"
